"zone","treatment","plotid","pinTemp_mean","pinTemp_se","aboveTemp_mean","aboveTemp_se","airTemp_mean","airTemp_se","lagTemp_mean","lagTemp_se","deepTemp_mean","deepTemp_se","surfaceTemp_mean","surfaceTemp_se","rh_avg_mean","rh_avg_se","vp_avg_mean","vp_avg_se","wind_speed_avg_mean","wind_speed_avg_se"
"Pioneer zone","ambient",110,15.8917411386719,0.217542945793451,15.6969185220571,0.467508822276192,15.2533048828101,0.395019272696184,15.9294444211253,0.222680993788641,13.8914051097724,0.217375783950331,16.5347145441705,0.233795026767757,76.9193770563204,0.695884688871385,1.53913814754112,0.0265775611870101,3.53951924767507,0.142929904886344
"Pioneer zone","ambient",120,15.1527038725616,0.258831889839633,17.8720848535245,0.287658527220753,15.1964110547483,0.288553228250956,15.0933100142192,0.258499533850944,13.173089117395,0.247222153217077,15.709586123789,0.267094204124959,76.9193770563204,0.695884688871385,1.53913814754112,0.0265775611870101,3.53951924767507,0.142929904886344
"Pioneer zone","ambient",130,15.1303073466186,0.273195408947067,16.7290577251656,0.331642618103147,14.1413158946779,0.354171415048131,14.9957275636961,0.272602748092024,13.7960312411949,0.251850798305179,15.611468520912,0.276240675805357,76.9193770563204,0.695884688871385,1.53913814754112,0.0265775611870101,3.53951924767507,0.142929904886344
"Pioneer zone","+1.5°C",111,16.5566169030067,0.273071514805524,17.0265559368473,0.337094644370255,16.0207021488631,0.335899258974085,16.3046145137171,0.265372638139298,14.4381517980147,0.255404248409416,17.3452236034061,0.272888975230201,76.9193770563204,0.695884688871385,1.53913814754112,0.0265775611870101,3.53951924767507,0.142929904886344
"Pioneer zone","+1.5°C",121,16.1173156595709,0.283130548522967,17.111030526285,0.346351832552042,15.8272241317892,0.340598355599027,15.8460169791576,0.282484932526935,13.9233298311325,0.258556492807896,16.7310969153587,0.304852616706383,76.9193770563204,0.695884688871385,1.53913814754112,0.0265775611870101,3.53951924767507,0.142929904886344
"Pioneer zone","+1.5°C",131,16.8609970751207,0.270130589994356,16.9367714349919,0.357338493326007,15.8753394567129,0.334887208864013,16.7731761452103,0.269140826199222,14.6148012470601,0.251754642628821,17.1217275588617,0.285657994607469,76.9193770563204,0.695884688871385,1.53913814754112,0.0265775611870101,3.53951924767507,0.142929904886344
"Pioneer zone","+3.0°C",112,18.9206399506598,0.198035507752299,18.856699801208,0.319790268750159,17.1865193537534,0.31380021038075,18.393434472561,0.212417163841612,17.1363418066044,0.238749439029773,18.5006475677314,0.23741912945366,76.9193770563204,0.695884688871385,1.53913814754112,0.0265775611870101,3.53951924767507,0.142929904886344
"Pioneer zone","+3.0°C",122,18.1495192396304,0.279418403778193,17.4057066967309,0.358978515212542,16.1199585542708,0.342624033294005,17.513328280332,0.272715553661614,16.1114426642433,0.217195826913718,18.4979692571966,0.295563644191058,76.9193770563204,0.695884688871385,1.53913814754112,0.0265775611870101,3.53951924767507,0.142929904886344
"Pioneer zone","+3.0°C",132,18.6063546958966,0.205832758084357,17.9738102446229,0.309648050494626,17.0416057877284,0.297222260095152,18.5269617600131,0.209164576167517,16.8474047084921,0.211819450600418,19.4913958975993,0.223724550866837,76.9193770563204,0.695884688871385,1.53913814754112,0.0265775611870101,3.53951924767507,0.142929904886344
"Low marsh","ambient",240,15.452285409351,0.237394947735111,17.2709508068226,0.349765924481223,16.6044731661968,0.329609611663576,15.2214656046655,0.249811388892492,13.2207213350815,0.278607264866475,16.4866706768323,0.240224573537799,76.8416103690325,0.692954085947361,1.53875745422266,0.0264977020327887,3.52850810111508,0.143832827383092
"Low marsh","ambient",250,15.0233885239365,0.197842891044028,17.1794667233526,0.292721647717377,16.6717163130716,0.287361799288021,14.9715390211255,0.201875186278533,13.5636094370498,0.223353019190118,15.7188152974677,0.211490483057675,76.8416103690325,0.692954085947361,1.53875745422266,0.0264977020327887,3.52850810111508,0.143832827383092
"Low marsh","ambient",260,14.6795674193037,0.269889405713571,17.3458452125937,0.370048664252972,15.7048247423229,0.336426513989453,14.0999303880024,0.283449816728559,13.1963376477917,0.256469598960183,16.1899872801956,0.303651663125602,76.8416103690325,0.692954085947361,1.53875745422266,0.0264977020327887,3.52850810111508,0.143832827383092
"Low marsh","+1.5°C",241,15.8344793832821,0.273913129652792,16.5273865861906,0.3673048928442,15.7401458312562,0.344646408024071,15.53749421428,0.268178121975057,14.0256964278271,0.255499656934463,17.0566757182416,0.286667959047017,76.8408783333468,0.691643336956626,1.53936619030179,0.0266081032112879,3.54068512113658,0.143025608004841
"Low marsh","+1.5°C",251,16.2678456274824,0.216336403515103,17.1282258701703,0.305774740418038,16.6970767394203,0.328717472398018,15.8820052229351,0.215000971727785,14.3578805104731,0.21927779667167,17.299525757217,0.240387555829323,76.8408783333468,0.691643336956626,1.53936619030179,0.0266081032112879,3.54068512113658,0.143025608004841
"Low marsh","+1.5°C",261,15.7301394047855,0.222420546590497,16.8877910824035,0.329570808866472,15.734953243703,0.300753993650964,15.6024906650762,0.222575174868573,14.2155121652849,0.225944940155928,16.9888153838358,0.217246892790671,76.8408783333468,0.691643336956626,1.53936619030179,0.0266081032112879,3.54068512113658,0.143025608004841
"Low marsh","+3.0°C",242,18.6785204330802,0.28452817902578,18.7903759386643,0.412260638790236,17.6967914332797,0.378308062685505,18.6571035390715,0.284351000993627,16.9366554920713,0.241517670097832,19.2281069369432,0.274454576417794,76.8741379089434,0.694308278983346,1.53926646284422,0.0265908006032623,3.53986392538093,0.1428976215976
"Low marsh","+3.0°C",252,17.3728505396662,0.273054707580155,16.9091531864782,0.363859693851956,15.8261411780118,0.327356385246584,17.0566554908316,0.267243518363495,15.8322434467827,0.24484490350084,17.9292122869477,0.284340483017454,76.8741379089434,0.694308278983346,1.53926646284422,0.0265908006032623,3.53986392538093,0.1428976215976
"Low marsh","+3.0°C",262,17.3204715464775,0.268542511577426,19.2188514724764,0.275357128232024,15.9776229789567,0.346475942913422,16.5284125713777,0.263241442529377,14.812763965854,0.250153017230095,18.1365139496752,0.27978528162796,76.8741379089434,0.694308278983346,1.53926646284422,0.0265908006032623,3.53986392538093,0.1428976215976
"High marsh","ambient",370,14.6266163597151,0.274955973160224,15.8876868622011,0.333861894141808,15.7333752785979,0.331033222730213,14.4293070368119,0.275789870650697,12.7630283513854,0.248037403257188,15.1979923810833,0.279837106834038,76.9185086368493,0.695964021140581,1.53920332538122,0.0265799640758892,3.53931178373276,0.142941510236159
"High marsh","ambient",380,14.5059564904383,0.27889786593403,16.0233544587149,0.329734129626496,15.8534085451186,0.333894510770973,14.280543208796,0.281682723340617,13.060837765207,0.262114271295862,15.050044633622,0.282592925019503,76.9185086368493,0.695964021140581,1.53920332538122,0.0265799640758892,3.53931178373276,0.142941510236159
"High marsh","ambient",390,14.781035778878,0.26538807094878,16.0223946607329,0.338664434354553,15.6066592569664,0.331308231600122,14.4509982324887,0.264001394155771,13.3439227222196,0.254754369409175,15.6709256373103,0.266916930623383,76.9185086368493,0.695964021140581,1.53920332538122,0.0265799640758892,3.53931178373276,0.142941510236159
"High marsh","+1.5°C",371,16.0344352409715,0.278854224238943,16.1610548298322,0.354269131967706,15.8041488412126,0.340407261510516,15.975651425108,0.267789525218363,14.6894781107077,0.26183266315703,16.9089643285105,0.274784763450418,76.9197947479604,0.695873494214446,1.53922249204788,0.0265815557274465,3.53935178373276,0.14293840909816
"High marsh","+1.5°C",381,16.0049144182881,0.281360648053273,16.3578329437236,0.357724156909967,15.791879262214,0.345453008911371,15.651821239211,0.271335944080411,15.1020494609491,0.234148022757968,16.703855375238,0.283392846087751,76.9197947479604,0.695873494214446,1.53922249204788,0.0265815557274465,3.53935178373276,0.14293840909816
"High marsh","+1.5°C",391,15.9827215034727,0.287083295745358,16.7636746303644,0.357997422838643,16.1342600274377,0.386243289783235,15.4591811824406,0.287351555959095,14.3262741808334,0.27778082968379,16.7795973471988,0.286078449270864,76.9197947479604,0.695873494214446,1.53922249204788,0.0265815557274465,3.53935178373276,0.14293840909816
"High marsh","+3.0°C",372,18.432892550253,0.23452009391032,17.6281625888285,0.35392029866535,16.1072278307299,0.363456605856791,17.3253792901024,0.303603281488673,15.3834523220717,0.270338298431902,18.3906609858104,0.294110167489551,76.9185086368493,0.695964021140581,1.53920332538122,0.0265799640758892,3.53931178373276,0.142941510236159
"High marsh","+3.0°C",382,16.6819845277078,0.342216568404488,17.8279932431186,0.327332595809839,16.6907626750956,0.360713153103603,16.429484021348,0.339701369670077,15.513589323996,0.301498053819559,17.334711329901,0.342991693457694,76.9185086368493,0.695964021140581,1.53920332538122,0.0265799640758892,3.53931178373276,0.142941510236159
"High marsh","+3.0°C",392,17.838690706981,0.288740167259812,17.2487275034192,0.358283880741805,16.5759257931359,0.354893862796735,17.643716088365,0.293723578569129,16.124243196071,0.281701276173413,18.4545392781287,0.288017607679778,76.9185086368493,0.695964021140581,1.53920332538122,0.0265799640758892,3.53931178373276,0.142941510236159
